id,wurfl-id,user-agent
autogen-0,apple_iphone_ver3_sub7a341_eses,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; es-es) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
autogen-1,apple_generic,Mozilla/5.0 (iPhone;
autogen-2,apple_iphone_ver1_sub4a93_en,"Mozilla/5.0 (iPhone; U; CPU like Mac OS X; en) AppleWebKit/420.1 (KHTML, like Gecko) Version/3.0 Mobile/4A93 Safari/419.3"
autogen-3,apple_iphone_ver3_1_0_sub52816,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_1 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7C144 Safari/528.16"
autogen-4,apple_iphone_ver3_sub7a341_enus,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
autogen-5,apple_iphone_ver3_sub7a341_frfr,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; fr-fr) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
autogen-6,apple_iphone_ver3_sub7a341_itit,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; it-it) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
autogen-7,apple_iphone_ver3_sub7a341_ruru,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; ru-ru) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
autogen-8,apple_iphone_ver1_sub3a110a_enus,"Mozilla/5.0 (iPhone; U; CPU like Mac OS X; en-us) AppleWebKit/420.1 (KHTML, like Gecko) Version/3.0 Mobile/3A110a Safari/419.3"
autogen-9,apple_iphone_ver4_sub405,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_0 like Mac OS X; en-us) AppleWebKit/532.9 (KHTML, like Gecko) Version/4.0.5 Mobile/8A293 Safari/6531.22.7"
autogen-10,apple_iphone_ver2_0_2_subua,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 2_0_2 like Mac OS X; en-us) AppleWebKit/525.18.1 (KHTML, like Gecko)"
autogen-11,apple_iphone_ver3_sub7a259g,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.11 (KHTML, like Gecko) Version/3.1.1 Mobile/7A259g Safari/525.20"
autogen-12,apple_iphone_ver3_sub7a312g,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; sv-se) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A312g Safari/528.16"
autogen-13,apple_iphone_ver3_sub1a542a,"Mozilla/5.0 (iPhone; U; CPU like Mac OS X; en) AppleWebKit/420+ (KHTML, like Gecko) Version/3.0 Mobile/1A542a Safari/419.3 taptu"
autogen-14,apple_iphone_emulator_ver2_1,"Mozilla/5.0 (iPhone Simulator; U; CPU iPhone OS 2_1 like Mac OS X; en-us) AppleWebKit/525.18.1 (KHTML, like Gecko) Version/3.1.1 Mobile/5F90 Safari/525.20"
autogen-15,apple_iphone_ver1_sub4a93_fifi,"Mozilla/5.0 (iPhone; U; CPU like Mac OS X; fi-fi) AppleWebKit/420.1 (KHTML, like Gecko) Version/3.0 Mobile/4A93 Safari/419.3"
autogen-16,apple_iphone_ver1_sub4a93_dede,"Mozilla/5.0 (iPhone; U; CPU like Mac OS X; de-de) AppleWebKit/420.1 (KHTML, like Gecko) Version/3.0 Mobile/4A93 Safari/419.3"
