description,wurfl-model-name,user-agent
Droid 2.0.1,droid_ver_201_FOO_THIS_HAS_TYPOS,"Mozilla/5.0 (Linux; U; Android  2.0.1; en-us; Droid Build/ESD56) AppleWebKit/530.17 (KHTML, like Gecko)  Version/4.0 Mobile Safari/530.17"
Droid 2.0.1,droid_ver_201,"Mozilla/5.0 (Linux; U; Android 2.0.1; en-us; Droid Build/ESD56) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Mobile Safari/530.17"
Motorola Droid,moto_droid,"Mozilla/5.0 (Linux; U; Android 2.0; en-us; Droid Build/ESD20) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Mobile Safari/530.17"
autogen-168,generic_android,"Mozilla/5.0 (Linux; U; Android 0.5; en-us) AppleWebKit/522+ (KHTML, like Gecko) Safari/419.3"
autogen-169,generic_android_ver2_subsdk,"Mozilla/5.0 (Linux; U; Android 2.0; en-us; sdk Build/ECLAIR) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2"
autogen-170,android_sdk_sub525,"Mozilla/5.0 (Linux; U; Android 1.1; en-us; generic) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2"
autogen-171,generic_android_ver2_1_subsdk,"Mozilla/5.0 (Linux; U; Android 2.1; en-us; sdk Build/ERD79) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2"
autogen-172,generic_android_ver2_1_subgoogle_sdk,"Mozilla/5.0 (Linux; U; Android 2.1; en-us; google_sdk Build/ERD79) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2"
autogen-173,generic_android_ver2_subgoogle_sdk,"Mozilla/5.0 (Linux; U; Android 2.0; en-us; google_sdk Build/ECLAIR) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2"
autogen-174,generic_android_nover,Mozilla/5.0 (Linux; U; Android
autogen-175,generic_android_1_6_win,"Mozilla/5.0 (Linux; U; Android 1.6; en-us; google_sdk Build/DRC76) AppleWebKit/528.5+ (KHTML, like Gecko) Version/3.1.2 Mobile Safari/525.20.1"
autogen-176,generic_android_2,"Mozilla/5.0 (Linux; U; Android 2.0; en-us; google_sdk Build/ECLAIR) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Mobile Safari/530.17"
autogen-177,generic_android_2_0_1,"Mozilla/5.0 (Linux; U; Android 2.0.1; en-us; google_sdk Build/ECLAIR) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Mobile Safari/530.17"
autogen-178,generic_android_ver2,Mozilla/5.0 (Linux; U; Android 2.0;
autogen-179,generic_android_ver2_subeclair,Mozilla/5.0 (Linux; U; Android Eclair;
autogen-180,generic_android_ver1_6,DO_NOT_MATCH_GENERIC_ANDROID_16
autogen-181,generic_android_ver1_5,"Mozilla/5.0 (Linux; U; Android 1.5; en-us; generic) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2"
autogen-182,generic_android_ver2_1,Mozilla/5.0 (Linux; U; Android 2.1;
autogen-183,htc_android_g1_ver1_sub16,"Mozilla/5.0 (Linux; U; Android 1.6; zh-cn; T-Mobile G1 Build/DRC83) AppleWebKit/528.5+ (KHTML, like Gecko) Version/3.1.2 Mobile Safari/525.20.1"
autogen-184,htc_android_g1_ver1_subua,"Mozilla/5.0 (Linux; U; Android 1.5; de-; T-Mobile G1 Build/CRB43) AppleWebKit/528.5+ (KHTML, like Gecko) Version/3.1.2 Mobile Safari/525.20.1"
autogen-185,htc_android_g1_ver1_cupcake,"Mozilla/5.0 (Linux; U; Android 1.5; en-us T-Mobile G1 Build/CRB43) AppleWebKit/528.5+ (KHTML, like Gecko) Version/3.1.2 Mobile Safari/525.20"
